Marca,Modelo,cod_fipe,novo_g,med18g,med17g,med16g,med15g,med14g,med13g,med12g,med11g,med10g,med09g,med08g,med07g,med06g,med05g,med04g,med03g,med02g,med01g,med00g,med99g,med98g,med97g,med96g,med95g,med94g,med93g,med92g,med91g,med90g,med89g,med88g,med87g,med86g,med85g,med84g,med83g,med82g,med81g
AGRALE,10000 / 10000 S  2p (diesel) (E5),501034-9,146149,,121179,109715,104779,101286,94749,90654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGRALE,10000 LX 2p (diesel) (E5),501039-0,151200,,127058,122985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGRALE,13000 Turbo 2p (diesel),501027-6,,,,,,,,94156,84460,78461,73429,70245,64736,,,,,,,,,,,,,,,,,,,,,,,,,,
AGRALE,13000 Turbo 3-Eixos 2p (diesel),501028-4,,,,,,,,110844,106759,103120,89596,81122,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGRALE,14000 / 14000 S 2p (diesel) (E5),501030-6,178814,,151978,131005,125984,121183,117617,111043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGRALE,14000 / 14000 S 6x2 2p (diesel) (E5),501031-4,196591,,161677,148619,143528,137894,132279,125624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGRALE,14000 LX 2p (diesel) (E5),501040-3,181323,,154128,144680,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGRALE,1600 D-RD 2p (diesel),501001-2,,,,,,,,,,,,,,,,,,,,,,,,,,19566,16636,15860,15293,14122,13130,11839,11329,10980,9927,,,,
AGRALE,1600 D-RS 2p (diesel),501002-0,,,,,,,,,,,,,,,,,,,,,,,,,,17710,15941,15375,14317,13432,12990,11407,10887,10480,9367,,,,
AGRALE,1800 D-RD 2p (diesel),501003-9,,,,,,,,,,,,,,,,,,,,,,,,,,20304,17541,16603,15969,15138,14415,13636,,,,,,,
AGRALE,1800 D-RS 2p (diesel),501004-7,,,,,,,,,,,,,,,,,,,,,,,,,,19032,17491,16786,15539,14908,13110,11880,,,,,,,
AGRALE,4500 D-RD 2p (diesel),501005-5,,,,,,,,,,,,,,,,,,,,,,,25478,23916,22745,20575,,,,,,,,,,,,,
AGRALE,4500 D-RS 2p (diesel),501006-3,,,,,,,,,,,,,,,,,,,,,,,23870,21762,20236,19573,,,,,,,,,,,,,
AGRALE,5000 D-RD 2p (diesel),501007-1,,,,,,,,,,,,,,,,,,,,,,31795,29070,27845,23918,21684,,,,,,,,,,,,,
AGRALE,5000 D-RS 2p (diesel),501008-0,,,,,,,,,,,,,,,,,,,,,,,26967,24103,22918,20746,,,,,,,,,,,,,
AGRALE,6000 D CD RS/ RD 3p (diesel),501021-7,,,,,,,,,,,,,,48410,46706,44579,38793,37578,35511,,,,,,,,,,,,,,,,,,,,
AGRALE,6000 D CS 2p (diesel),501020-9,,,,,,,,59505,57513,55252,53100,51432,49629,48066,46366,41558,37997,36473,34240,32590,,,,,,,,,,,,,,,,,,,
AGRALE,6000 Furgovan 2.8 TDI RS/ RD 4p,501022-5,,,,,,,,,70166,67657,61114,59181,56896,54840,52025,48414,43637,42223,,,,,,,,,,,,,,,,,,,,,
AGRALE,7000 D 2p (diesel),501009-8,,,,,,,,,,,,,,,,,,37485,34066,32759,,,28301,27314,26045,23936,22594,,,,,,,,,,,,
AGRALE,7000 D-RD (C.Dupla) 4p (diesel),501010-1,,,,,,,,,,,,,,,,,,,,,,29224,27998,26877,25929,,,,,,,,,,,,,,
AGRALE,7000 DX 2p (diesel),501011-0,,,,,,,,,,,,,,,,,,37687,34776,33128,30506,29228,28345,27388,,,,,,,,,,,,,,,
AGRALE,7500 TD 2p (diesel),501012-8,,,,,,,,,,,,,,,50118,47877,41314,38528,37168,,,,,28588,27228,26178,,,,,,,,,,,,,
AGRALE,7500 TDX 2p (diesel),501013-6,,,,,,,,,,,,,,,,52191,47154,42971,40395,35496,34343,32827,31599,28919,,,,,,,,,,,,,,,
AGRALE,8000 Furgovan 4.3 TDI 145cv Aut 4p,501025-0,,,,,,,,,,,,,,,59776,55651,,,,,,,,,,,,,,,,,,,,,,,
AGRALE,8000 Furgovan 4.3 TDI Mec 4p,501024-1,,,,,,,,,73193,66957,61977,59498,57539,54927,52617,48279,,,,,,,,,,,,,,,,,,,,,,,
AGRALE,8500 E-tronic CE 2p (diesel),501026-8,,,,,,,,70628,64469,61623,58812,56916,54968,51985,,,,,,,,,,,,,,,,,,,,,,,,,
AGRALE,8500 Turbo 2p (diesel),501014-4,,,,,,,,65519,63385,61365,58481,56511,53900,51922,49955,46407,44880,42815,37735,34543,33253,32142,28277,,,,,,,,,,,,,,,,
AGRALE,8500 Turbo CD 3p (diesel),501029-2,,,,,,,,83944,80933,69583,66481,62627,58073,,,,,,,,,,,,,,,,,,,,,,,,,,
AGRALE,8700 / 8700 S 2p (diesel) (E5),501032-2,139587,,115265,105513,102258,97029,89533,85581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGRALE,8700 LX 2p (diesel) (E5),501038-1,150190,,126543,116820,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGRALE,8700 TR 2p (diesel) (E5),501033-0,148691,,123660,115135,108727,103539,97224,90220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGRALE,9200 Turbo 2p (diesel),501023-3,,,,,,,,82937,78930,76471,73226,70335,65735,63591,61637,56675,,,,,,,,,,,,,,,,,,,,,,,
AGRALE,A10000 2p (diesel) (E5),501037-3,140425,,117643,104985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGRALE,A7500 2p (diesel)(E5),501041-1,128730,,101464,96834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGRALE,A8700 2p (diesel) (E5),501036-5,131229,,107518,99147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGRALE,MARRUÁ AM 300 2.8 CS TDI Diesel (E5),501035-7,194000,,,142335,120883,116982,113462,110101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEVROLET,11000 2p (diesel),502001-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23472,21014,19472,18732,17987,14320,13671,12175,10603
CHEVROLET,11000 3-Eixos 2p (diesel),502002-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25735,22910,21482,19929,18920,17158,16029,15429,14786
CHEVROLET,12000 2p (diesel),502003-4,,,,,,,,,,,,,,,,,,,,,,,,37436,32831,31532,29690,27341,26408,25179,24413,22036,20643,19254,18240,14784,14218,13491,12969
CHEVROLET,12000 3-Eixos 2p (diesel),502004-2,,,,,,,,,,,,,,,,,,,,,,,,40359,36778,33731,32694,30175,28883,27940,26869,25916,24433,20240,19274,18469,17658,16413,15680
CHEVROLET,13000 2p (diesel),502005-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25875,23868,21881,19520,18496,17332,16070,15411,14174
CHEVROLET,13000 3-Eixos 2p (diesel),502006-9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27074,26187,25123,23524,20118,19264,18547,17626,15766
CHEVROLET,14000 Turbo 2p (diesel),502007-7,,,,,,,,,,,,,,,,,,,,,,,,40275,37921,35885,32928,31580,29624,27666,26616,25571,22809,20752,19389,,,,
CHEVROLET,14000 Turbo 3-Eixos 2p (diesel),502008-5,,,,,,,,,,,,,,,,,,,,,,,,45595,44105,41591,39725,37573,35589,34212,32779,30656,28428,27493,24728,,,,
CHEVROLET,19000 2p (diesel),502009-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31059,29801,28905,23978,21257,,,,
CHEVROLET,19000 3-Eixos 2p (diesel),502010-7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33602,31173,29898,28576,24756,,,,
CHEVROLET,21000 2p (diesel),502011-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30579,29317,28346,25711,21758,,,,
CHEVROLET,22000 2p (diesel),502012-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37842,36036,31779,30040,28278,25201,,,,
CHEVROLET,6000 2p (diesel),502013-1,,,,,,,,,,,,,,,,,,,,,,,,33466,29979,28905,26873,,,,,,,,,,,,
CHEVROLET,C-60 2p (Gas.),502014-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8012,7363,7062,6148
CHEVROLET,D-40 2p (diesel),502015-8,,,,,,,,,,,,,,,,,,,,,,,,,,30460,28945,28031,27127,26013,25231,24114,22863,21708,19347,,,,
CHEVROLET,D-60 2p (diesel),502016-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25424,24417,22996,21751,20768,18416,17821,16196,14929
CHEVROLET,D-70 2p (diesel),502017-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25995,24646,23525,21976,21291,19179,18007,16606,15825
CICCOBUS,Alleanza Gran ( Escolar ) 2p (diesel),519004-5,,,,,,,,,,,,92834,88672,74758,,,,,,,,,,,,,,,,,,,,,,,,,
CICCOBUS,Alleanza Gran ( Executivo/ Turismo ) 2p,519006-1,,,,,,,,,,,,143569,136429,113204,,,,,,,,,,,,,,,,,,,,,,,,,
CICCOBUS,Alleanza Gran ( Urbano/ SPTRANS ) 2p (di,519005-3,,,,,,,,,,,,113328,105327,95797,,,,,,,,,,,,,,,,,,,,,,,,,
CICCOBUS,Alleanza Mini ( Escolar ) 2p (diesel),519001-0,,,,,,,,,,,,72304,69337,64453,,,,,,,,,,,,,,,,,,,,,,,,,
CICCOBUS,Alleanza Mini ( Executivo/ Turismo ) 2p,519003-7,,,,,,,,,,,,90121,85540,75631,,,,,,,,,,,,,,,,,,,,,,,,,
CICCOBUS,Alleanza Mini ( Urbano/ SPTRANS ) 2p (di,519002-9,,,,,,,,,,,,73977,70895,65882,,,,,,,,,,,,,,,,,,,,,,,,,
DAF,CF 85 FT 360 4x2 (diesel)(E5),530008-8,280928,,218266,206180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAF,CF 85 FT 410 4x2 (diesel)(E5),530005-3,295635,,228443,211287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAF,CF 85 FTS 360 6x2 (diesel)(E5),530007-0,303436,,239698,220726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAF,CF 85 FTS 410 6x2 (diesel)(E5),530006-1,314066,,243378,228662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAF,XF 105 FTS 410 6x2 (diesel)(E5),530001-0,344375,,271479,263128,251234,241428,233592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAF,XF 105 FTS 460 6x2 (diesel)(E5),530002-9,347188,,279086,269546,260801,250291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAF,XF 105 FTS 510 6X2 (diesel)(E5),530009-6,362605,,286429,276882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAF,XF 105 FTT 460 6x4 (diesel)(E5),530003-7,370763,,288806,277904,264610,254195,246369,238213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAF,XF 105 FTT 510 6x4 (diesel)(E5),530004-5,373402,,291641,274699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EFFA-JMC,JBC 3.2 TURBO INTERCOOLER 2p (diesel),522003-3,,,,,,,,42552,39607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EFFA-JMC,N601 2.8 2p (diesel),522001-7,,,,,,,,45501,42145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EFFA-JMC,N900 2.8 2p (diesel),522002-5,,,,,,,,50094,48118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FIAT,190 2p (diesel),503001-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18474,16816,15090,13459
FIAT,190 E 2p (diesel),503002-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19543,18774,16835,16257
FIAT,190 H 2p (diesel),503003-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21271,20209,19016,16828
FIAT,190 T 2p (diesel),503004-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26591,23921,21620,20157
FORD,CARGO 1113 2p (diesel),504005-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30423,29157,28258,25874,25028,,,,
FORD,CARGO 1113 3-Eixos 2p (diesel),504006-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35726,33173,32111,29588,27677,,,,
FORD,CARGO 1114 2p (diesel),504007-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32283,31057,30058,28058,27125,,,,
FORD,CARGO 1114 3-Eixos 2p (diesel),504008-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38522,34112,32512,31085,29899,,,,
FORD,CARGO 1117 T 3-Eixos 2p (diesel),504009-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36995,34514,32722,30152,28602,,,,
FORD,CARGO 1117 Turbo 2p (diesel),504010-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34752,32851,30126,28625,27516,,,,
FORD,CARGO 1119 Turbo 2p (diesel)(E5),504149-0,144458,,113844,110265,106856,97391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FORD,CARGO 1215 2p (diesel),504011-6,,,,,,,,,,,,,,,,,,,53432,51365,45784,43997,42651,41236,39985,37360,35326,34121,30388,29151,28119,27229,26134,25292,23940,,,,
FORD,CARGO 1215 3-Eixos 2p (diesel),504012-4,,,,,,,,,,,,,,,,,,,,59433,57483,54446,51339,49362,47509,45284,43690,40598,39322,38091,35881,33949,32656,29850,27913,,,,
FORD,CARGO 1217 2p (diesel),504082-5,,,,,,,,,,,,,,,,,,52161,49801,,,,,,,,,,,,,,,,,,,,
FORD,CARGO 1217 3-Eixos 2p (diesel),504083-3,,,,,,,,,,,,,,,,,,63435,55883,,,,,,,,,,,,,,,,,,,,
FORD,CARGO 1218 T 3-Eixos 2p (diesel),504013-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46285,43357,37012,34838,33269,30456,28702,,,,
FORD,CARGO 1218 Turbo 2p (diesel),504014-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36131,34293,32984,31725,29685,28217,26862,,,,
FORD,CARGO 1313 2p (diesel),504015-9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31430,30312,28315,27415,25697,,,,
FORD,CARGO 1313 3-Eixos 2p (diesel),504016-7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36885,34115,32856,30282,28429,,,,
FORD,CARGO 1314 2p (diesel),504017-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32819,31737,30507,29537,26588,,,,
FORD,CARGO 1314 3-Eixos 2p (diesel),504018-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38066,36613,34390,31549,29045,,,,
FORD,CARGO 1317/ 1317 E T 2p (diesel),504019-1,,,,,,,,85173,75156,72262,69241,67024,61798,58716,55889,54196,51178,,,,,,,,,,,,,,37780,36412,34220,32100,28090,,,,
FORD,CARGO 1317/ 1317 E T 3-Eixos 2p (diesel),504020-5,,,,,,,,98100,94434,91395,80397,77141,74845,71852,69708,67434,55038,,,,,,,,,,,,,,39248,37845,35666,33548,29677,,,,
FORD,CARGO 1319 E Turbo 2p (diesel)(E5),504135-0,162090,,134125,123386,117533,111521,108201,98416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FORD,CARGO 1415 2p (diesel),504021-3,,,,,,,,,,,,,,,,,,,,57100,53955,50814,48817,47326,45898,44321,41728,40121,37401,35383,34246,32474,31476,28878,27626,,,,
FORD,CARGO 1415 3-Eixos 2p (diesel),504022-1,,,,,,,,,,,,,,,,,,,,62995,61110,59255,55537,53659,51102,46095,44350,42207,40437,39048,35890,34422,33182,31618,30493,,,,
FORD,CARGO 1417 2p (diesel),504084-1,,,,,,,,,,,,,,,,,,53991,51743,,,,,,,,,,,,,,,,33498,,,,
FORD,CARGO 1417 3-Eixos 2p (diesel),504085-0,,,,,,,,,,,,,,,,,,64756,61521,,,,,,,,,,,,,,,,,,,,
FORD,CARGO 1418 2p (diesel),504023-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42387,39084,36233,35136,32205,29650,,,,
FORD,CARGO 1418 3-Eixos 2p (diesel),504024-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49250,42952,40945,39604,37862,36341,,,,
FORD,CARGO 1419 T 3-Eixos 2p (diesel),504025-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,47451,43839,36542,,,,,,,,,
FORD,CARGO 1419 Turbo 2p (diesel),504026-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,41383,37545,35455,,,,,,,,,
FORD,CARGO 1419 Turbo 2p (diesel)(E5),504159-7,171980,,142490,133952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FORD,CARGO 1421 2p (diesel),504080-9,,,,,,,,,,,,,,,,,,70335,64115,61356,,,,,,,,,,,,,,,,,,,
FORD,CARGO 1421 3-Eixos 2p (diesel),504118-0,,,,,,,,,,,,,,,,,,82861,77080,64634,,,,,,,,,,,,,,,,,,,
FORD,CARGO 1422 2p (diesel),504027-2,,,,,,,,,,,,,,,,,,,,63322,61258,59233,56678,54365,52029,48213,46273,43139,40960,,,,,,,,,,
FORD,CARGO 1422 3-Eixos 2p (diesel),504028-0,,,,,,,,,,,,,,,,,,,,67250,63910,61894,59810,57202,54148,52196,50247,46210,43138,,,,,,,,,,
FORD,CARGO 1517 T 3-Eixos 2p (diesel),504029-9,,,,,,,,100061,96739,93532,90020,86910,79747,76400,73455,67744,60335,,,,,,,,,,,,,,37492,36255,34209,32525,29619,,,,
FORD,CARGO 1517 Turbo 2p (diesel),504030-2,,,,,,,,88103,80915,77145,74784,71510,66390,63121,61239,57636,55889,,,,,,,,,,,,,,32797,31381,30321,29244,26604,,,,
FORD,CARGO 1519 E Turbo 2p (diesel)(E5),504136-8,182084,,143655,138751,131228,120437,108888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FORD,CARGO 1519 T 3-Eixos 2p (diesel),504110-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,47202,43357,35451,,,,,,,,,
FORD,CARGO 1519 Turbo 2p (diesel),504109-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,38362,30992,29735,,,,,,,,,
FORD,CARGO 1521 T 3-Eixos 2p (diesel),504104-0,,,,,,,,,,,,,,95638,91532,88642,70898,,,,,,,,,,,,,,,,,,,,,,
FORD,CARGO 1521 Turbo 2p (diesel),504100-7,,,,,,,,,,,,,,86744,84101,77664,68565,,,,,,,,,,,,,,,,,,,,,,
FORD,CARGO 1615 2p (diesel),504031-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34615,33291,31670,30438,28517,26837,,,,
FORD,CARGO 1615 3-Eixos 2p (diesel),504032-9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40065,38863,37635,36302,34686,30550,,,,
