marca,modelo,cod_fipe,novo_a,novo_g,med18a,med18g,med17a,med17g,med16a,med16g,med15a,med15g,med14a,med14g,med13a,med13g,med12a,med12g,med11a,med11g,med10a,med10g,med09a,med09g,med08a,med08g,med07a,med07g,med06a,med06g,med05a,med05g,med04a,med04g,med03a,med03g,med02a,med02g,med01a,med01g,med00a,med00g,med99a,med99g,med98a,med98g,med97a,med97g,med96a,med96g,med95a,med95g,med94g,med93g,med92g,med91g,med90g,med89g,med88g,med87g,med86g,med85g,num_passag
Acura,Integra GS 1.8,038003-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12856,11861,,,,,,,00005
Acura,Legend 3.2/3.5,038002-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29390,,24695,,23821,,21646,19253,17338,16093,15351,,,,,,,00005
Acura,NSX 3.0,038001-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45721,44378,42709,41268,39096,,,,,,,00002
Agrale,MARRUÁ 2.8 12V 132cv TDI Diesel,060001-6,,,,,,,,,,,,,,,,,,,,,,,,,,54524,,51698,,45936,,42131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00004
Agrale,MARRUÁ AM 100 2.8  CS TDI Diesel,060003-2,,,,,,,,,,129077,,120737,,114356,,102872,,77771,,59666,,53431,,50685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00003
Agrale,MARRUÁ AM 100 2.8 CD TDI Diesel,060004-0,,,,,,,,,,134547,,126842,,116248,,108289,,95918,,66126,,61520,,58488,,56714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00006
Agrale,MARRUÁ AM 150 2.8  CS TDI Diesel,060005-9,,,,,,,,,,128566,,120769,,113738,,103002,,85707,,63669,,59100,,56128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00003
Agrale,MARRUÁ AM 150 2.8 CD TDI Diesel,060006-7,,,,,,,,,,143364,,134126,,127551,,122430,,93774,,72793,,67037,,65036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00006
Agrale,MARRUÁ AM 200 2.8  CD TDI Diesel,060008-3,,210421,,,,178943,,170170,,145106,,136595,,129518,,124522,,96297,,81135,,77935,,75299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00006
Agrale,MARRUÁ AM 200 2.8 CS TDI Diesel,060007-5,,191949,,,,162510,,154904,,129529,,123280,,114265,,103028,,86251,,65396,,62808,,57507,,55227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00003
Agrale,MARRUÁ AM 50 2.8 140CV TDI Diesel,060002-4,,,,,,,,,,,,,,,,,,80112,,76274,,70216,,63109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00005
Alfa Romeo,145 Elegant 1.7/1.8 16V,006009-7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13727,,13155,,9551,,8075,,,,,,,,,,,,,00005
Alfa Romeo,145 Elegant 2.0 16V,006001-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13763,,11770,,11322,,9513,,,,,,,,,,,00005
Alfa Romeo,145 Quadrifoglio 2.0,006002-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14961,,14433,,12890,,12472,,,,,,,,,,,,,00005
Alfa Romeo,145 QV,006008-9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14787,,13073,,12632,,,,,,,,,,,,,00005
Alfa Romeo,147 2.0 16V 148cv 4p Semi-Aut.,006017-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53131,,45171,,38055,,,,,,,,,,,,,,,,,,,,,,,,,,,00005
Alfa Romeo,155,006003-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14365,,13186,,11112,,,,,,,,,,,00005
Alfa Romeo,155 Super,006004-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15188,,14010,,12856,,,,,,,,,,,00005
Alfa Romeo,156 2.5 V6 24V 190cv 4p Aut.,006015-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44657,,,,,,,,26449,,,,,,,,,,,,,,,,,,,00005
Alfa Romeo,156 Sport Wagon 2.0 16V,006014-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27428,,25902,,,,,,,,,,,,,,,,,,,,,,,00005
Alfa Romeo,156 SportWagon 2.5 V6 24V 190cv 4p Aut.,006016-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41554,,35689,,,,,,,,,,,,,,,,,,,,,,,,,,,00005
Alfa Romeo,156 TS/Sport/Elegant 2.0 16V,006010-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25477,,24584,,21488,,20700,,,,,,,,,,,,,,,,,,,00005
Alfa Romeo,164 3.0 V6,006005-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13232,,12771,11325,8445,8171,7874,,,,,,,00005
Alfa Romeo,164 Super V6 24V,006006-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16973,,14725,,,,,,,,,,,00005
Alfa Romeo,166 3.0 V6 24V,006011-9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52443,,46310,,38757,,37606,,36293,,,,,,,,,,,,,,,,,,,00005
Alfa Romeo,2300 TI/TI-4,006013-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8113,6240,00005
Alfa Romeo,Spider 2.0/3.0,006007-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66091,,56109,,43918,,20745,18470,15206,,,,,,,00002
AM Gen,Hummer Hard-Top 6.5 4x4 Diesel TB,037001-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,252500,,213604,,201793,,,,,,,,,,,,,,,,,00004
AM Gen,Hummer Open-Top 6.5 4x4 Diesel TB,037002-9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,245095,,203790,,175389,,,,,,,,,,,,,,,,,00004
AM Gen,Hummer Wagon 6.5 4x4 Diesel TB,037003-7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,296481,,240267,,213532,,,,,,,,,,,,,,,,,00004
Asia Motors,AM-825 Luxo 4.0 Diesel,007018-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26903,,24203,,22390,,20878,19772,,,,,,,,,,00024
Asia Motors,AM-825 Super Luxo 4.0 Diesel,007019-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31871,,24817,,24034,,23065,21872,,,,,,,,,,00024
Asia Motors,Hi-Topic SLX/SDX/DLX Full Diesel,007001-7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17446,,15993,,14803,,14063,13144,11065,,,,,,,,,00016
Asia Motors,Hi-Topic STD Diesel,007002-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15848,,15348,,14633,,13522,12231,11076,,,,,,,,,00016
Asia Motors,Hi-Topic Van 2.7 Diesel (furgão),007017-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14328,,13711,,13165,9913,,,,,,,,,,00003
Asia Motors,Jipe Rocsta GT 4x4 2.2 Diesel,007020-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21701,21032,,,,,,,,,,00004
Asia Motors,Topic Carga 2.7 Diesel (furgão),007016-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18027,,15022,,13620,,,,,,,,,,,,,,,00003
Asia Motors,Topic Luxo Diesel,007014-9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18614,,16349,,15444,,,,,,,,,,,,,,,00016
Asia Motors,Topic Super Luxo Diesel,007015-7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19027,,17115,,16227,,15094,,,,,,,,,,,,,00016
Asia Motors,Towner Coach Full,007003-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6937,,5877,,5638,,5451,,,,,,,,,,,00007
Asia Motors,Towner Furgão,007009-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5262,,4857,,4645,,4397,,4057,3738,,,,,,,,,,00002
Asia Motors,Towner Glass Van,007004-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4935,,4652,,4411,,4232,3849,3736,,,,,,,,,00002
Asia Motors,Towner Luxo,007012-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5661,,5457,,5273,,,,,,,,,,,,,,,00007
Asia Motors,Towner Multiuso 5p,007011-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4332,,4059,,3815,,,,,,,,,,,,,,,00002
Asia Motors,Towner Panel Van,007005-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3783,,3568,,3418,,3177,2627,,,,,,,,,,00002
Asia Motors,Towner Pick-Up,007008-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4979,,4699,,4482,,,,,,,,,,,,,,,00002
Asia Motors,Towner SDX / DLX/ STD,007006-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7302,,6999,,6485,,6256,5246,4927,,,,,,,,,00007
Asia Motors,Towner Super Luxo,007013-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7548,,6737,,6488,,,,,,,,,,,,,,,00007
Asia Motors,Towner Truck,007007-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6196,,5954,,5744,,5453,4912,4642,,,,,,,,,00002
ASTON MARTIN,DB9 Coupe 6.0 V12 510cv,085011-0,,,,,,,,1463199,,,,1054753,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00004
ASTON MARTIN,DB9 Volante 6.0 V12 470cv,085006-3,,,,,,,,,,,,,,,,,,587860,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00002
ASTON MARTIN,Rapide 6.0 V12 477cv,085007-1,,,,,,,,,,,,,,,,848583,,683291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00004
ASTON MARTIN,Rapide S 6.0 V12 550cv,085009-8,,1850000,,,,,,1588429,,,,1242199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00002
ASTON MARTIN,Vanquish V12 6.0 565cv,085010-1,,2700000,,,,,,2151816,,,,1568395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00004
ASTON MARTIN,Vantage 6.0 V12 510cv,085004-7,,,,,,,,,,,,,,,,663255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00002
ASTON MARTIN,Vantage Coupe 4.7 V8 425cv,085002-0,,850200,,,,,,712586,,,,674440,,,,471902,,353952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00002
ASTON MARTIN,Vantage Roadster 4.7 V8 420cv,085003-9,,,,,,,,,,,,,,,,,,380137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00002
ASTON MARTIN,Vantage S 6.0 V12 565cv,085008-0,,1700000,,,,,,1295975,,1068072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00004
ASTON MARTIN,Vantage S Coupe 4.7 V8 430cv,085001-2,,,,,,,,,,,,,,,,478875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00002
ASTON MARTIN,Virage Coupe 6.0 V12 490cv,085005-5,,,,,,,,,,,,,,,,670120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00002
Audi,100 2.8 V6,008030-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14437,12327,11818,,,,,,,,,00005
Audi,100 2.8 V6 Avant,008076-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16982,13606,,,,,,,,,,00005
Audi,100 S-4 2.2 Avant Turbo,008031-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18873,16845,,,,,,,,,,00005
Audi,80 2.0,008001-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13635,11014,,,,,,,,,,00005
Audi,80 2.0 Avant,008077-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13745,12697,,,,,,,,,,00005
Audi,80 2.6/ 2.8,008080-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15025,13210,,,,,,,,,,00005
Audi,80 2.6/2.8 Avant,008002-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18644,,17696,16841,,,,,,,,,,00005
Audi,80 2.8 Cabriolet,008003-9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50848,,47073,,41695,,40155,,38910,33211,,,,,,,,,,00004
